town,cluster_label,flat_type,remaining_lease_yrs,path,predicted_start_psf,floor_area_sqf,low_growth_annual,central_growth_annual,high_growth_annual,n_train_support,low_confidence,data_source
BISHAN,Cluster: Premium Suburbs,2_ROOM,80,Resale Purchase,653.7443185872079,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,54,FALSE,model
BISHAN,Cluster: Premium Suburbs,2_ROOM,85,Resale Purchase,660.3669998195967,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,834,FALSE,model
BISHAN,Cluster: Premium Suburbs,2_ROOM,90,Resale Purchase,687.4922275228375,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,1504,FALSE,model
BISHAN,Cluster: Premium Suburbs,2_ROOM,95,Resale Purchase,708.2632230813396,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,375,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,40,Resale Purchase,464.42228396762954,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,1764,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,45,Resale Purchase,471.6876901813502,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,4726,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,50,Resale Purchase,471.79895231922205,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,9335,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,55,Resale Purchase,476.14320149812863,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,10030,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,60,Resale Purchase,475.86776733672303,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,8396,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,65,Resale Purchase,475.08850727627635,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,289,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,70,Resale Purchase,473.54622450672537,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,76,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,75,Resale Purchase,576.2810262591756,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,184,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,80,Resale Purchase,652.8950485825728,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,226,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,85,Resale Purchase,658.6268567542337,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,2786,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,90,Resale Purchase,679.6917030189068,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,5802,FALSE,model
BISHAN,Cluster: Premium Suburbs,3_ROOM,95,Resale Purchase,684.270509948936,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,588,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,40,Resale Purchase,503.97761283248235,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,19,TRUE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,45,Resale Purchase,505.30967217334063,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,684,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,50,Resale Purchase,494.7741870855997,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,4038,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,55,Resale Purchase,487.62948656936555,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,5648,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,60,Resale Purchase,493.9302871431417,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,14052,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,65,Resale Purchase,509.302172106492,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,3917,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,70,Resale Purchase,505.3046313350392,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,10622,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,75,Resale Purchase,555.4313168627612,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,8341,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,80,Resale Purchase,705.745751215176,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,3448,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,85,Resale Purchase,716.7824891142392,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,9137,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,90,Resale Purchase,698.7831440700528,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,17219,FALSE,model
BISHAN,Cluster: Premium Suburbs,4_ROOM,95,Resale Purchase,705.2765359027484,1022,0.02480797062958673,0.03413469062732677,0.04313659892927646,1787,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,40,Resale Purchase,538.5937296972523,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,1,TRUE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,45,Resale Purchase,539.4227715785953,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,154,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,50,Resale Purchase,538.8377425598351,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,2332,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,55,Resale Purchase,505.95069609799464,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,2517,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,60,Resale Purchase,540.7812923401783,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,5665,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,65,Resale Purchase,549.2378553759414,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,2812,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,70,Resale Purchase,548.5788545431029,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,8777,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,75,Resale Purchase,579.6480505666201,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,11446,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,80,Resale Purchase,682.2702997277548,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,1773,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,85,Resale Purchase,715.9468944474567,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,2158,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,90,Resale Purchase,709.6511984877521,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,7225,FALSE,model
BISHAN,Cluster: Premium Suburbs,5_ROOM,95,Resale Purchase,706.0331853515723,1184,0.01793098063649512,0.027454026564014855,0.03663656537290394,657,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,40,Resale Purchase,533.5954555186627,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,267,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,45,Resale Purchase,538.234891880235,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,267,FALSE,model
